text,label
와 착한 반란 인정한다 그건,0
아 ㅋㅋ 나도 두꺼운 옷 얼마전에 정리 좀 하긴 함 ㅜㅜ 서랍이 너무 꽉 차서,0
아 왠지 흑인 특유의 꼬린내 나더라,0
개돼지가 그거 안 하면 도축 당하는 수밖에 없지,0
이제 코로나 풀리면 그쪽이 또 뜨니까 하하,0
응 느금마는 게임 안 해도 벌레임,0
나 오늘 엄마 모시고 슈퍼에 다녀왔어.,0
많이 잘랐어요? 저도 머리가 많이 상해서ㅠㅠ,0
헐 자가용 ㅠㅠ 뚜벅이는 부럽습니다 ㅠㅠ,0
이쁜가요?,0
웅 난 그거 하다가 어지러워서 접음 ㅋㅋ,0
머리가 잘려 나가는 순간에야 발 뻗고 잘 거다,0
"그니까, 요즘 애들 말 알아듣기도 힘들어",0
이명박 사진은 불태워도 되고 지네 지역 여자들 욕은 하면 안되냐?,0
나는 독일 베를린을 가보면 좋을 것 같아,0
환경적인 문제도 있지만 개인 책임이 없지도 않음,0
ㅋㅋ 그런 타이쿤 많은데 어떤 거였어?,0
머리 좀 잘못 자를 수 있지 그걸로 환불 요구하냐?,0
목욕하면 항상몸이 근지러운 이유가 건조해서였어,0
"땅 샀는데, 그 부동산이 개발 가능하다고 속였대",0
진짜 4050은 쓰레기가 맞다,0
너랑 대화나누는 거 자체가 시간낭비야 ㅋㅋㅋㅋ,0
어떤 큰 개가 목줄도 없이 달려와서 깜짝 놀랐거든.,0
ㅋㅋㅋ 잇몸밖에 안 남은 할배들 나와서 어버버 거리는거 귀엽던데,0
너같은 김치는 군대를 가봐야 정신을 차리지,0
"당연하지, 여성들은 결혼하고 애 낳으면 경단녀 되잖아.",0
힘든 일 있어?,0
긍정적인 자세 보기 좋다.,0
ㅋㅋ 근데 얼마 전에 해봤는데 도에서 도까지 잘 안 가던데,0
공부가 인생의 전부일까..?,0
그냥 새로 사는 게 맘 편할걸?,0
이걸 언제 다 메꿔?,0
주위에 너한테 군대 다녀온 얘기 해주는 남사친? 있엉? ㅋㅋ,0
야ㅋㅋㅋ 말이 좀 심하다. 그러는 네 인성이야말로 독방에서 혼자 늙어죽을 신세 같구만.,0
너 혹시 백신 뭐 맞았어?,0
"물론, 저도 사랑하는 여자를 안고 싶다는 생각 정도는 합니다. 그렇지만 사랑하는 이와 함께하기 위해서 욕망을 참는 것도 사랑이라고 생각해요.",0
그럼 가네...,0
전기장판이 완전 마약이야.,0
잘생긴 애들이 여자되니까 이쁘긴 하노,0
아니 그래서 닭둘기라고 하잖아/넘 웃겼어 첨에 그 이름 들었을 때 ㅋㅋ/난 피하고 있는데 옆에서 장난치면 진짜 때리고 싶어...,0
죽는 한이 있어도 저 사람은 안 뽑아,0
1년이나 더 기다려야해,0
와 내일 드디어 체육대회네?,0
여자들이랑 자고 싶으면 그냥 명품백 하나 던져주면 돼,0
거짓말 치지 마 그런 사람이 있을리가 없어,0
어쨌든 불법 성매매해서 계속 돈 보내고 보내다가 3000만원 털린 거 본인 잘못 맞음 ^^,0
가족끼리 싸우는 건 누워서 침 뱉기일텐데 ㅠㅠ,0
눈가에만 있어?/난 이제 팔자도 생기고 있어...,0
기본이 되어있으면 짱깨가 아니지,0
"우리나라는 경찰, 소방관같은 공무원들 너무 무시하는거같다.. 미국이나 러시아같이 존나 쌔야할텐데",0
식약처가 우리나라에 수입 안된대,0
내 말이 내 마지막 여행 베트남...,0
"글쎄, 표준어를 안 써서 그런가?",0
그렇게 가격 바가지 씌우는 장사꾼들은 다 잡아 쳐넣어야 되는건데,0
니 인생도 캄캄한데 남 신경을 쓸데가 아니지,0
한과가 죄다 만 원이 넘는다고?,0
속눈썹이 길면 눈이 좀 커보이나,0
나가요들아 집에서 잠이나 자라,0
그냥 내 생각을 말했을 뿐이야,0
아냐!! 나빠!! 너 없으면 아무 것두 못하는 주제에... 웃겨 진짜. 두고 봐. 걔 연수원 수료도 못하고 완전 폐인 된다.,0
ㅋㅋ 진짜 얼굴도 존못인데 왜사겼었냐?,0
왜 태어났니 왜 태어났니 ㅋㅋㅋ,0
LH가 일곡지구에 불법으로 쓰레기를 매립했다네.,0
"성형업계에 있는 사람들에게 물어보면, 저 면상은 전형적인 성괴인게 완전 팩트인데 ㅋㅋㅋ",0
고마워 진짜 꿀팁이다,0
그런 말 할 거면 우리 집 왜 왔냐,0
한마디만 그딴식으로 더하면 죽여버릴거야.,0
대통령 아들씩이나 되어서 세금 사용에 의혹 품는 국민들을 날파리라고 표현하는 것도 인성 보임,0
오 ~ 그렇다면 바로 장바구니 넣어 본다!,0
"너네 저런말 니들 엄마, 여동생, 여친앞에서도 할 수 있냐?",0
그것도 다 컨셉인데 눈치 없냐?,0
"미안해, 당신을 의심해서.",0
저 아직도 빙의가 안풀렸어요... :) 불러주셔서 감사합니다 보라의신 감스트 고마워!,0
거기는 몇 미터 정도 되는데?,0
"나 집에서 늦은거 아니야, 정말.",0
속 꽉차는 애랑 떡쳐서 방앗간 건축하고 싶다,0
또 다른것도 추천해줘,0
많이 써봤어,0
"그게 아니구요... 저 꼬마 제 아들 아녜요. 동네에 그냥 아는 꼬만데, 쟤 할머니가 치매 끼가 있으셔서...",0
실친인데 어떻게 차단하냐ㅡㅡ 아 진심 사기 사진 올리는 것도 개빡치는데 다 얼빡샷임 ㅡㅡ,0
나중에 결과가 궁금하다,0
ㅋㅋ 어어 얼굴도 좀 태운모습이 진짜 ㅋㅋ 찰떡,0
응응 합숙하면서 하면 재밌을 것 같아,0
나는 편집샵을 가면 점원이 말거는게 부담스러워,0
일본이 지진이 난리야.,0
서류 갖다 주라던데요? 책상 위에 뒀어요.,0
쌍도랑 엮이는 순간 인생 종치는 거야.,0
ㅋㅋㅋ아 웃겨 장애인 등급 받아도 될 정도다,0
나는 콩이 너무 싫어,0
엄마가 돼 가지고 딸이 먹은 간식 그릇도 안닦으면 아줌마도 욕해.,0
아 진짜 ㅋㅋ 난 영화보단 뮤지컬 ㅋㅋ,0
그거 손 엄청 시려 겨울에!,0
결국 백인들도 별 거 없는 것 같네,0
평생 집권하길 기도해야겠군,0
방구석 보디빌더들 싸그리 잡아서 덤벨로 손가락 찍어버리고 싶네,0
토끼도 종이 여러종이지?,0
네. 오늘 저녁까지 일이 많습니다.,0
나 방에 불 켜는 거 안 좋아해,0
